# Energy of the simulation (kJ/mol)
# Step Potential Kinetic Total
1 -40.8921194740258 101.01369577530082 60.12157630127503
2 -40.8707944689664 100.99235353296528 60.12155906399888
3 -40.83245873212677 100.95400115502704 60.12154242290027
4 -40.77692698256047 100.89845339161647 60.121526409055996
5 -40.70402768063924 100.82553874032075 60.12151105968151
6 -40.6136036603909 100.73510007887289 60.12149641848198
7 -40.50551285475925 100.62699539076092 60.12148253600167
8 -40.379629118475336 100.50109858844475 60.121469469969405
9 -40.235843153108796 100.35730043874344 60.12145728563464
10 -40.0740635386797 100.19550959476915 60.12144605608945
11 -39.89421787594595 100.01565373851585 60.1214358625699
12 -39.69625404312285 99.81768083785397 60.12142679473112
13 -39.480141570329444 99.60156052121462 60.12141895088517
14 -39.24587313446582 99.36728557266065 60.12141243819483
15 -38.99346617650172 99.11487354931279 60.12140737281107
16 -38.72296464227083 98.84436852221337 60.121403879942534
17 -38.43444084680837 98.55584294065244 60.12140209384406
18 -38.111739793130404 98.24945726239595 60.137717469265546
19 -37.78762718985278 97.92534672319495 60.13771953334217
20 -37.445899540462264 97.58362330006982 60.13772375960755
21 -37.08676364702471 97.22449396325779 60.13773031623308
22 -36.69419221310342 96.84825317562529 60.15406096252187
23 -36.30111687521845 96.45518958692361 60.15407271170516
24 -35.89150065882914 96.04558799437902 60.154087335549875
25 -35.44941140687209 95.61986967901207 60.17045827213998
26 -35.007985537030116 95.17846475665968 60.170479219629556
27 -34.55131104526812 94.72181466662525 60.17050362135712
28 -34.07992575342163 94.2504574240639 60.17053167064227
29 -33.59442546841564 93.76498902567988 60.17056355726423
30 -33.09546656290166 93.26606602776523 60.17059946486357
31 -32.583768439501334 92.75440800755618 60.170639568054845
32 -32.06011583538241 92.23079986463964 60.170684029257224
33 -31.50906173811791 91.69612778916812 60.1870660510502
34 -30.94793162128002 91.1513463313968 60.20341471011678
35 -30.393941191139987 90.59741423411742 60.203473042977436
36 -29.831827041960427 90.0353632312087 60.20353618924828
37 -29.262726022438127 89.4663302167686 60.20360419433047
38 -28.671553188877184 88.89155554276866 60.22000235389148
39 -28.092242043487623 88.31232210930953 60.22008006582191
40 -27.509790888585634 87.72995342985334 60.2201625412677
41 -26.925623839787768 87.14587349742187 60.22024965763411
42 -26.341232746125396 86.56157398680969 60.2203412406843
43 -25.758174076315314 85.97861113771404 60.22043706139872
44 -25.145475363847392 85.39865770386147 60.25318234001407
45 -24.57010205317471 84.82338777292502 60.253285719750295
46 -24.00107635465974 84.25446865390671 60.25339229924698
47 -23.423890867039567 83.69369165080451 60.26980078376495
48 -22.84035957667435 83.14290926064125 60.30254968396691
49 -22.30126469068169 82.60392751780337 60.30266282712168
50 -21.759483012579565 82.07857001931256 60.31908700673301
51 -21.24949313794493 81.5686945781521 60.31920144020717
52 -20.7568168506737 81.07613229778897 60.31931544711527
53 -20.28329692535291 80.6027251874251 60.31942826207218
54 -19.83075098469822 80.15029007663931 60.31953909194108
55 -19.40095928782065 79.72060641314314 60.31964712532249
56 -18.99565227365073 79.31540381664794 60.31975154299721
57 -18.616498016286435 78.93634954542699 60.31985152914055
58 -18.265089760108363 78.5850360431905 60.31994628308214
59 -17.910333886759766 78.26301932533592 60.35268543857616
60 -17.602647751650725 77.97172813222815 60.36908038057742
61 -17.326978855703793 77.71243118264248 60.385452326938676
62 -17.10076606978963 77.48628493703289 60.38551886724326
63 -16.908737519659354 77.29431433507254 60.38557681541318
64 -16.75180243573489 77.13742814081182 60.385625705076926
65 -16.630724926281005 77.01639008575907 60.38566515947806
66 -16.529834042385875 76.93183592209495 60.402001879709076
67 -16.48220256647413 76.88422428672678 60.40202172025264
68 -16.471801350978488 76.87383293657399 60.4020315855955
69 -16.4987718546153 76.90080335540728 60.402031500791985
70 -16.56309695886695 76.96511855151716 60.402021592650215
71 -16.648301529848545 77.06662455758541 60.418323027736875
72 -16.78670082484591 77.20499506625755 60.418294241411644
73 -16.96147901904516 77.3797355996293 60.41825658058414
74 -17.172018465094695 77.59022899385832 60.41821052876363
75 -17.41756661179836 77.83572325035885 60.41815663856049
76 -17.681034975270673 78.11541168173731 60.43437670646664
77 -17.977679190556156 78.42831694423808 60.45063775368192
78 -18.32270000458584 78.77326420339998 60.450564198814135
79 -18.698549915363795 79.1490354105369 60.4504854951731
80 -19.103943473488236 79.55434585292768 60.450402379439446
81 -19.53752100305202 79.98783659535728 60.45031559230526
82 -19.98164788855696 80.4481517139493 60.466503825392344
83 -20.467405399197926 80.93381728453313 60.466411885335205
84 -20.944314730176266 81.44328864079769 60.49897391062143
85 -21.47614313137038 81.97502272509416 60.498879593723785
86 -22.02863591305211 82.5274209645523 60.4987850515002
87 -22.583958352780385 83.09894296617969 60.51498461339931
88 -23.17312563935786 83.68801697414114 60.51489133478327
89 -23.778246713220888 84.29304616969759 60.51479945647671
90 -24.397772197455225 84.91248162128234 60.514709423827114
91 -25.030175874538827 85.54479750641217 60.51462163187335
92 -25.673961052573134 86.18849747805919 60.514536425486064
93 -26.311349888936242 86.84215298677337 60.530803097837136
94 -26.97361990427033 87.50434380010014 60.53072389582981
95 -27.643012238057526 88.17366026321957 60.53064802516204
96 -28.31819714692745 88.84877279201237 60.53057564508492
97 -28.997895390722288 89.52840226537468 60.53050687465239
98 -29.680880449712557 90.21132224555173 60.530441795839174
99 -30.365980174858628 90.89636063167141 60.530380456812786
100 -31.035863201751408 91.5824600502973 60.546596848545896
